GEOID,NAME,GEOID10,2018,2017,2016,2015,2014,2013
1500000US210670005003,"Block Group 3, Census Tract 5",210670005003,0,3.77,5.35,2.75,2.53,0
1500000US210670007002,"Block Group 2, Census Tract 7",210670007002,1.88,2.5,1.61,1.52,0,10.42
1500000US210670014001,"Block Group 1, Census Tract 14",210670014001,25.13,0,0,0,3.44,9.52
1500000US210670017001,"Block Group 1, Census Tract 17",210670017001,3.76,2.5,2.39,1.52,3.63,25.75
1500000US210670017003,"Block Group 3, Census Tract 17",210670017003,0,0.52,0.37,0.19,0.22,1.52
1500000US210670022001,"Block Group 1, Census Tract 22",210670022001,8.09,7.57,8.66,7.29,7.71,11.71
1500000US210670022002,"Block Group 2, Census Tract 22",210670022002,6.31,2.59,1.42,0.76,1.22,0
1500000US210670042041,"Block Group 1, Census Tract 42.04",210670042041,5.13,2.6,0,0,0,34.42
1500000US210670027002,"Block Group 2, Census Tract 27",210670027002,15.69,36.25,39.96,42.34,1.69,55.04
1500000US210670042042,"Block Group 2, Census Tract 42.04",210670042042,0,0,0,0,10.45,26.35
1500000US210670006003,"Block Group 3, Census Tract 6",210670006003,1.29,5.15,4.29,5.07,2.27,5.43
1500000US210670006002,"Block Group 2, Census Tract 6",210670006002,6.79,7.77,6.71,6.96,8.21,2.22
1500000US210670037041,"Block Group 1, Census Tract 37.04",210670037041,4.81,13.76,15.53,24.04,22,0.46
1500000US210670037042,"Block Group 2, Census Tract 37.04",210670037042,0,2.14,3.6,3.07,7.38,5.57
1500000US210670038031,"Block Group 1, Census Tract 38.03",210670038031,13.13,3.09,1.34,1.74,0,0
1500000US210670038032,"Block Group 2, Census Tract 38.03",210670038032,12.43,0,0,0,0,4.77
1500000US210670038041,"Block Group 1, Census Tract 38.04",210670038041,42.72,0,0,0,0,1.82
1500000US210670038042,"Block Group 2, Census Tract 38.04",210670038042,26.49,0,0,0,0,31.53
1500000US210670039062,"Block Group 2, Census Tract 39.06",210670039062,6.43,1.32,1.49,1.58,0.07,10.3
1500000US210670039081,"Block Group 1, Census Tract 39.08",210670039081,11.14,0,0,0,0,1.25
1500000US210670039083,"Block Group 3, Census Tract 39.08",210670039083,1.06,0,0,0,0,14.45
1500000US210670039091,"Block Group 1, Census Tract 39.09",210670039091,11.37,2.14,3.46,6.45,5.51,2.22
1500000US210670039101,"Block Group 1, Census Tract 39.10",210670039101,15.66,1.54,1.74,2.2,2.49,1.55
1500000US210670039111,"Block Group 1, Census Tract 39.11",210670039111,18.84,3.1,2.35,2.53,2.51,0.86
1500000US210670039113,"Block Group 3, Census Tract 39.11",210670039113,0,4.53,3.71,3.01,2.6,0
1500000US210670039121,"Block Group 1, Census Tract 39.12",210670039121,1.3,1,0.6,0.29,0,7.12
1500000US210670039142,"Block Group 2, Census Tract 39.14",210670039142,0.66,3.52,4.42,3.97,0.92,16.71
1500000US210670039131,"Block Group 1, Census Tract 39.13",210670039131,4.47,3.51,4.13,2.56,1.56,0
1500000US210670039132,"Block Group 2, Census Tract 39.13",210670039132,0,6.4,5.82,4.5,4.49,0
1500000US210670039141,"Block Group 1, Census Tract 39.14",210670039141,1.1,17.64,10.47,10.61,11.23,0
1500000US210670039151,"Block Group 1, Census Tract 39.15",210670039151,2.3,1.37,1.23,2.92,2.25,0
1500000US210670039152,"Block Group 2, Census Tract 39.15",210670039152,2.35,53.89,44.04,57.79,42.66,0
1500000US210670039161,"Block Group 1, Census Tract 39.16",210670039161,0,7.54,12.66,14.12,16.13,1.04
1500000US210670039162,"Block Group 2, Census Tract 39.16",210670039162,1.43,56.99,51.98,46.43,46.62,0
1500000US210670039171,"Block Group 1, Census Tract 39.17",210670039171,14.01,26.04,23.36,8.45,8.41,0
1500000US210670039172,"Block Group 2, Census Tract 39.17",210670039172,21.88,9.91,14.99,22.51,18.25,0
1500000US210670039173,"Block Group 3, Census Tract 39.17",210670039173,0,38.64,39.19,35.71,34.42,0
1500000US210670039181,"Block Group 1, Census Tract 39.18",210670039181,11.81,27.22,21.27,23.14,18.41,3.86
1500000US210670033001,"Block Group 1, Census Tract 33",210670033001,0.44,7.6,9.39,11.31,11.15,5.51
1500000US210670024001,"Block Group 1, Census Tract 24",210670024001,2.01,16.78,18.02,9.35,12.6,4.29
1500000US210670024003,"Block Group 3, Census Tract 24",210670024003,1.71,19.16,17.56,23.46,21.52,2.41
1500000US210670025001,"Block Group 1, Census Tract 25",210670025001,3.94,2.8,7.39,13.99,16.67,0
1500000US210670034052,"Block Group 2, Census Tract 34.05",210670034052,2.02,15.91,26.11,20.61,14.99,0.93
1500000US210670034053,"Block Group 3, Census Tract 34.05",210670034053,0,2.16,1.64,1.63,0,1.86
1500000US210670036002,"Block Group 2, Census Tract 36",210670036002,0.82,0,0,0,0,0
1500000US210670036003,"Block Group 3, Census Tract 36",210670036003,2.34,0,0,0,0,0
1500000US210670040031,"Block Group 1, Census Tract 40.03",210670040031,0,3.29,2.91,3.07,3.03,2.12
1500000US210670019001,"Block Group 1, Census Tract 19",210670019001,6.11,0.96,0.81,0.59,1.14,30.23
1500000US210670031022,"Block Group 2, Census Tract 31.02",210670031022,0,11.49,8.85,6.13,6.69,1.23
1500000US210670009003,"Block Group 3, Census Tract 9",210670009003,5.97,2.67,9.42,12,11.9,0
1500000US210670009001,"Block Group 1, Census Tract 9",210670009001,4.69,59.35,52.35,55.73,51.23,7.71
1500000US210670013001,"Block Group 1, Census Tract 13",210670013001,14.92,57.37,61.17,59.95,35.68,0
1500000US210670002004,"Block Group 4, Census Tract 2",210670002004,1.4,30.23,39.76,41.51,43.06,1.56
1500000US210670002002,"Block Group 2, Census Tract 2",210670002002,4.81,62.07,56,61.85,60.32,4.4
1500000US210670002003,"Block Group 3, Census Tract 2",210670002003,2.93,18.3,19.67,18.64,35.9,0
1500000US210670035011,"Block Group 1, Census Tract 35.01",210670035011,2.85,2.22,1.85,1.81,1.5,1.25
1500000US210670008021,"Block Group 1, Census Tract 8.02",210670008021,4.63,6.9,8.9,2.36,11.99,0.69
1500000US210670010002,"Block Group 2, Census Tract 10",210670010002,1.14,3.22,3.79,3.69,3.09,0.58
