GEOID,NAME,GEOID10,2018,2017,2016,2015,2014,2013
1500000US210670005003,"Block Group 3, Census Tract 5",210670005003,97.72,60.08,59.06,65.58,67.36,75.45
1500000US210670007002,"Block Group 2, Census Tract 7",210670007002,95.79,85.07,84.98,84.58,82.84,93.46
1500000US210670014001,"Block Group 1, Census Tract 14",210670014001,75.2,79.56,75.56,79.08,84.1,89.85
1500000US210670017001,"Block Group 1, Census Tract 17",210670017001,97.18,80.11,77.45,77.62,73.35,92.87
1500000US210670017003,"Block Group 3, Census Tract 17",210670017003,82.67,47,39.81,33.97,44.44,96.91
1500000US210670022001,"Block Group 1, Census Tract 22",210670022001,96.27,57.34,50.94,51.76,58.52,30.77
1500000US210670022002,"Block Group 2, Census Tract 22",210670022002,54.27,92.61,92.94,91.54,87.96,93.36
1500000US210670042041,"Block Group 1, Census Tract 42.04",210670042041,83.16,67.09,68.54,69,65.99,22.88
1500000US210670027002,"Block Group 2, Census Tract 27",210670027002,77.35,40.08,44.6,37.76,46.34,9.61
1500000US210670042042,"Block Group 2, Census Tract 42.04",210670042042,91.02,28.84,21.09,21.19,21.47,15.54
1500000US210670006003,"Block Group 3, Census Tract 6",210670006003,100,34.04,34.14,12.91,16.56,99.78
1500000US210670006002,"Block Group 2, Census Tract 6",210670006002,100,47.16,40.15,47.86,32.62,89.58
1500000US210670037041,"Block Group 1, Census Tract 37.04",210670037041,82.48,81.6,65.88,74.07,74.14,76.63
1500000US210670037042,"Block Group 2, Census Tract 37.04",210670037042,64.2,21.24,25.27,19.43,21.47,70.17
1500000US210670038031,"Block Group 1, Census Tract 38.03",210670038031,78.3,84.6,97.29,96.61,93.05,82.6
1500000US210670038032,"Block Group 2, Census Tract 38.03",210670038032,50.14,86.68,88.43,95.4,94.17,59.54
1500000US210670038041,"Block Group 1, Census Tract 38.04",210670038041,15.24,98.94,100,100,95.73,65.01
1500000US210670038042,"Block Group 2, Census Tract 38.04",210670038042,3.29,95.22,93.78,95.59,89.59,51.82
1500000US210670039062,"Block Group 2, Census Tract 39.06",210670039062,88.46,98.66,98.36,99.86,99.74,37.64
1500000US210670039081,"Block Group 1, Census Tract 39.08",210670039081,86.11,100,100,100,100,66.96
1500000US210670039083,"Block Group 3, Census Tract 39.08",210670039083,35.03,100,100,100,100,35.74
1500000US210670039091,"Block Group 1, Census Tract 39.09",210670039091,72.22,76.78,80.54,89.08,90.33,67
1500000US210670039101,"Block Group 1, Census Tract 39.10",210670039101,48.35,86.58,89.09,84.32,86.38,88.52
